Comments,Score,Difficulty,Attendance,Would Take Again
"Expect google to be your professor. No additional material other then lectures. sure his lectures are different, and makes you laugh at times. but if you have difficulty following the lecture, dont expect any additional help. Lab classes are also fairly useless.",1.5,5.0,,
"Hands down the best lecturer I've ever had.  Makes boring and obsolete topics interesting.  He's informal and it makes it easier to relate to him.  He's a super hard marker and his tests are killer.  TAKE NOTES.  Write down EVERYTHING he says, as the tests are directly based on the lectures.  Essay format, one mark per paragraph.",4.5,5.0,,
"Good teacher, knows his stuff. expects a lot from students come midterm time. expect to write 10 essays in less than 2 hours. No one finishes his midterm. Cool guy, just a hard marker and hard on students. get on his good side and he'll get on yours.",4.5,4.0,,
"Ian is a great teacher, he really knows his stuff. If you walk into his class ready to learn and write a lot, you'll do really well. Study at least a week in advance for both the midterm and the exam as you'll be writing about 45 paragraphs for each. Tests are more of memorization than knowledge, but if you know it, you'll remember it. He's awesome",4.5,5.0,,
"Awesome, especially when it's steak day!",5.0,5.0,,
"Best prof. And by best I mean he is the hardest marking dude around. Despite this, I managed to pass when 75% didn't. He decided to give us an ""easy"" final in order to get his rating up here on this site while he was away on vacation. I guess he hoped people would think he changed his ways but...he definitely won't. Cheers Ian!",3.5,5.0,,
"The Midterm and Final Exam are both given in essay/question format. Each mark is basically one paragraph on what is lectured weekly. You will need to other students and friends for notes and/or do research on your own. Put in WORK. Do not feel bad if you fail the first time. One of the harder courses in the program, but you will come out a WINNER.",4.0,5.0,,
"Thank you for giving me ""B+"" after the first ""F"" I got from you. Thanks Ian ;)",3.0,4.0,,
I love this guy.  He's the best.  Although he doesn't know whats going he's so cute.,1.0,5.0,,
"This guy is always in a different planet.  Perhaps instead of teaching us all he thinks or dreams about his johnny walker.  Way to go, professor.  See you in the next class after all the Fs you gave me.  Thanks i appreciate it.  See ya soon.",5.0,1.0,,
"Wants you to memorize information and write essays for your exams. Did not help during labs and even though this is a very important course, you do not learn anything if taking it with this teacher. In my opinion he came **** to every lab class ... very unprofessional.",3.0,4.0,,
"He is a good teacher. His lectures are really good. The way he teaches about the various protocols is interesting and easy to remember. However you need to put hard work else you will fail this course, because his expectation is very high. He is not much helpful in labs. However if you put your effort and learn it you will understand.",3.5,5.0,,
"In the lab his useless. Lectures he know everything no slides.He makes his tests impossible to remember. His older the then the protocols he teaches. Somewhat funny. ""When you guys go to party talk about data com stuff the girls will love you.""  Tests are way to difficult to remember everything he wants. He needs to cut back on the drinking tho.",3.0,5.0,,
"Hard classes, nice prof. Very charismatic and funny. Has a very peculiar way to teach. Usually on his breaks u can spot him at the bar (... Hill) at York Lanes taking beers with Scott.",4.5,5.0,,
"Well after a stop at the blueberry hill and a smoke he will always fill the class with excitement, walking around the class to each student this guy will keep you on your feet. He knows his stuff, the only teacher i have had at Seneca that teaches 100% true without aid, and for people who think you can skip, his basement is already full of scotch!!",3.5,1.0,,
"He is an idol for ""old school"". I felt like an illiterate during his lectures. Never seen a professor giving a lecture completely from his head without using any visual aid and without a single mistake in technical description. No wonder all other profs tell you go to him for datacom questions.",4.5,4.0,,
Ian Allison will kick your ass! You will walk into his class soft and leave carved out of wood... ask him to teach you assembly if you're breezing through Datacom.,5.0,5.0,,
"He is my favorite Seneca professor. I don't attend the classes because they are asynchronous, but I watched all of his videos to prepare for quizzes, examinations, and labs. Taking notes of the commands will help you achieve a high grade. He also has a great voice and explains the complex material in an easy to comprehend manner.",5.0,4.0, Not Mandatory, Yes
hard marking,1.0,5.0, Not Mandatory,
"Made learning Linux fun. Interesting lectures, knows his stuff. Quizzes were a bit tricky but if you studied the material it wasn't a problem. Usually responded to emails within a day.",4.0,3.0, Not Mandatory, Yes
"He knows how to teach, his material is well organized into video sections step by step, he puts emphasis on clear communication and uses calendar (halelluja!) Seneca should just let him teach 100% online as his way of online teaching is exemplary and really well executed. Lecture heavy but If you have a bad grade, not his fault. Really nice voice.",5.0,2.0, Mandatory, Yes
"When I see reviews crying about difficulty, it's not Brian's fault. He gives THE BEST online lectures I've seen in Seneca. He also covers the material with his step-by-step videos for each part of the course. He is enormously approachable and kind but mutual respect has to be shown. Brian will teach you SO MUCH but don't expect the grade for free",5.0,2.0, Mandatory, Yes
Just take him very easy grader. If you put a little effort and attend classes or even watch recorded classes syou would pass you just need a little practice with commands. Tests are very easy and interesting. He is the best prof for this course.,5.0,1.0, Not Mandatory, Yes
"Really great professor, very dedicated. Patiently answers any questions anybody has. Yes, there are a lot of quizzes, but if you sit through his classes or go through his course videos, it won't be too difficult. He also goes through the answers after each quiz - super helpful, not many professors do that. I'd definitely take him again.",5.0,2.0, Not Mandatory, Yes
One of the best professor i had. Learn a lot from him!,5.0,1.0, Not Mandatory, Yes
Quizzes are hard and every things are matter.,1.0,2.0, Not Mandatory,
"Pretty Straight Foward guy, lots of quizzes, tests, and assignments, like probably 2-3 quizzes a week, but normally everything is explained in slides, couldn't really keep up with his lectures, would zone out from time to time, makes the course time consuming, wouldn't really take again",2.0,5.0, Mandatory, No
Easy to understand and great at explaining things.,5.0,5.0, Not Mandatory, Yes
"I don't understand the policy that If u fail the final test although that u did perfectly in everything else, u get an F!!!!",2.0,3.0, Not Mandatory, No
"It was a great course overall and the professor made Linux look easy rather than making students cram it, practical knowledge was more emphasized.",5.0,4.0, Not Mandatory, Yes
"Brian Gray is great. He knows the material very well, he has a wonderful voice and you enjoy listening to his lectures.",5.0,3.0, Not Mandatory, Yes
"Knows the material, but is boring to listen to (may be the material's fault). Marks are all subjective, there's no part marks. Doesn't always read his emails properly.",3.0,2.0, Not Mandatory, Yes
"Brian Gray is a good lecturer. If you ask question he explains. However, he is rude. He directly does not say bad word to anyone, but his tone of voice prevents you from asking your question.",3.0,4.0, Mandatory, Yes
"Won't make an effort to show up if he doesn't need to be there for testing. Even if it does happen to be test day, flip a coin if class is cancelled. Even when he is teaching the lecture it is extremely barebones. I think I learned nothing from his course except how to read lab instructions. Super easy course.",1.0,2.0, Mandatory, No
He is one of the best professors in Seneca for any Linux courses I must say. He evaluates our exam paper in a way to bring perfection in our learning. I really appreciate his feedback.,5.0,3.0, Mandatory, Yes
He is horrible,1.0,5.0, Mandatory, No
"Before him I was taking at least 3 online courses, but Brian's explanation was the best. You have to put some effort into Assignments and do them again and again and you'll definitely pass.",5.0,2.0, Not Mandatory, Yes
"I had him for first year, and I thought he was a decent lecturer. But as the years went by, I realized that he did not prepare me well. There's a difference between getting through a course, and then getting you ready for the next course. I wish he would have taught a deeper understanding of the concepts versus making everything easy.",2.0,2.0, Mandatory, No
"Ian is a really nice guy. But he only touches the surface of each concept. When you ask for more details, he doesn't know them. That's good for those who just want to pass the course, since he teaches easy and has great lectures. He tries to avoid tougher questions and does not follow up, but expects you to read up on it yourself.",2.0,3.0,, No
Really amazing prof. Didn't like the course too much but he was great.,5.0,3.0,, Yes
"Ian is just great! The best professor I've had. Very clear, organized and engaging.",5.0,1.0, Not Mandatory,
"What I like most about Vanderburgh is that he explains everything very clearly while also keeping the interest of students who know the material. He's funny, very intelligent and makes it a joy to be in class. Also, even though he's a busy guy, he's always helpful if you ask.  Absolutely the best prof I have.",5.0,1.0, Not Mandatory,
One of my favourite prof!,5.0,1.0,,
"He was our substitute teacher for a couple of math137 lectures, and he was awesome, as always. I actually chose to come to UW partially because of him! I was in a week long math seminar at uw during grade 12 and luckily had him as our lecturer. That's how good he is!!",5.0,2.0,,
"The side-effect of having Ian as a first-year course prof is that I am now forever comparing other profs to him and none is even remotely comparable (well, perhaps with the exception of Joe West).  Also, he seems to be an all-around accomplished guy.  Hell, he plays piano for our school choir and runs marathon annually, what else can he NOT do?",5.0,3.0,,
"Just awesome, period!",5.0,3.0,,
He is one of the best profs in u of w I think. I have taken math 135 and Pmath 340 with him. His class was very interesting and not very hard to follow. I strongly suggest him to be your first Math 135 prof if you are a new math students in u of w.,5.0,3.0,,
BEST PROF EVER!!!,5.0,1.0,,
One of a kind!,5.0,1.0,,
"Absolutely amazing professor. If you can take any course with him, DO IT.",5.0,2.0,,
"What else can I say?  Read all his ""fans'"" comments, they're all true. :)  GO TO HIS CLASS!!!!  I was inspired to go to his 8:30am class just to hear lecture!! Teaches BETTER than the textbook--no need to buy course material as long as you attend all his lectures! He's SO friendly, and will know your name--such a young course coordinator!(only 30!)",5.0,2.0,,
"Ian is my GOD!! Not going to his classes should definitely be a crime! He was so nice and helpful. When our class clapped when he told us he was engaged he blushed, funniest thing ever. I think we should work on cloning Ian multiple times to teach all math classes!!",5.0,3.0,,
"Ian was by far the best professor I had this semester.  He is extremely knowledgeable, really teaches the material well, and he's pretty funny at times.  I actually really enjoyed the class just because of how great of a prof Ian was.  I would definitely recommend his classes",5.0,2.0,,
his class is the only class i even consider going to at 8:30 in the morning... although i still fail at waking up....,5.0,2.0,,
"Everyone was saying how great of a prof. he was but I didn't know until I took this class... and yeah, definitely one of the best!",5.0,3.0,,
"Ian is absolutely wonderful!  He's really patient with questions... if you have the slightest chance to take his class, take it!  It's well worth the extra work!",5.0,3.0,,
"The only prof Ive had who made the class so interesting, I would have rather gone to class than teach it to myself! Amazing people skills.",5.0,2.0,,
"Amazing teacher, I would recommend him.",5.0,4.0, Mandatory, Yes
"I took his fitness and conditioning class completely frightened of being yelled at and such, but it was completely the opposite! Les is such a kind professor, slightly traditional, but super motivating. He helps create a ""running culture"" for the entire class and I've really enjoyed my time in his class. It's actually my favourite.",5.0,3.0, Mandatory, Yes
"Les is a relatable prof who you can speak to at any time about anything. He challenges you in your schooling, but also in your daily life. He's rememberable and you always take something away from his class each day.",5.0,3.0, Mandatory, Yes
Les is a unique professor that veers away from traditional textbook learning and immerses his students with engaging discussion. His views on holistic wellness are a great example to live your life by. Only con is that the final exam is worth a ton on textbook material that we hardly covered in class. He needs to tie up the evaluation a bit.,5.0,3.0,,
"Les is honestly the most motivational man I've  ever had the pleasure of meeting. He is tough but he pushes you to be your best. In the running class he is supportive and fair and basis marks off of your attitude. In his lecture, if you put in the work Les makes sure you are rewarded. Great teacher! Highly recommended!!!",5.0,3.0, Mandatory,
"so helpful, especially for international students. simply, the best.",5.0,1.0,,
"learning is done in Les's class not through rote memorization or boring lectures but through experience, thought provoking excersise and real life down to earth examples that Les brings in from all areas. Amazing prof whose classes will change you for the better!",5.0,2.0,,
"Great prof! Very Passionate, enthusiastic, motivated, outgoing and experienced. He knows what he's talking about. Grades are determined based on your performance, attitude and effort. Highly recommended !",5.0,2.0,,
"No structure. Every class i've taken with Les has been a struggle to get through.  All I had in my notes from lectures were his favorite quotes he told us to write down. Needs to TEACH, not PREACH.  Every semester during the last week of class he hits us with 15 chapters we didn't cover which are on the exam.  Went to 30% of classes and got an A",1.5,1.0,,
"This man has a giant heart, he is very passionate about what he does. Good teacher, makes me feel like a bad person!",3.5,1.0,,
"His assignments were good an insightful, but they were worth pretty much nothing. The final exam was worth a whopping 40% and had absolutely nothing to do with what he said in class. The final is only from the textbook - and it is a very tough and long exam. You pretty much have to memorize every chapter in order to do well.",1.5,4.0,,
"EXCELLENT teacher. He knows his material, and is always pure and good to all his students. I admire all his beliefs and practices. He is a healthy man, and inspiring to all students. I would definelty recommend taking one of his classes, as you will find out for yourself how great of a person he is. There is not many people like him, and I love him",5.0,3.0,,
the most enriching man i know whos passionate and creates a culture of wellness in everyone he meets.  gets to know all of his students individually and is a strong inspiration to all the teams in the athletics department.  love the man!,4.0,4.0,,
"just an amazin person...makes u think twice about what u throw into ur body thurs nights at the foundary, his tests arent alot on lecture.but this is by far the best class ive ever taken...cant wait to take another one:D",4.0,1.0,,
3rd class now with Les.  Such a class act!  Such a unique and passionate individual.  I think he should rule the world.,4.5,2.0,,
"Awesome teacher, so passionate about what he teaches. Makes me want to be a healthier, better person. I would recommend any class with Les",4.0,3.0,,
"Les is the reason why I am a healthy indavudual and not diabetic and 400 pounds. He changed my life with his passion towards health and wellness. I own my life to this man and he is the reason why I am going to be a teacher to do the same for other students. Take any of his classes, you will never, ever, regret it.",5.0,4.0,,
"Les is full of passionate energy and has a uncanny nack for getting his students to really become involved in the world of Physical Education. My only problem with Les is, he is very unclear in his teaching style. I recommend that you enroll in his running class, you will not regret it!",3.5,3.0,,
An Inspiring Teacher! Les is one in a million.,5.0,3.0,,
Les is a really nice guy and was a nice change to have from all the other ED courses,4.0,2.0,,
"Best teacher I ever met. Patient, kind, encouraging till I caught up, then inspiring, w/high expectations. Brought out all our different strengths, while always helping us improve. Amazing readings every class.Studying w/Tim was a high point of my life.The ribs creak & strain with the love. & poems come. Class was a great joy to me.",5.0,4.0, Mandatory, Yes
"Professor Seibles is a true gem. I took an intro Creative Writing class just for kicks with him in 2001, and graduated with a degree in English in 2004. That was definitely not my plan when I started at ODU. I specifically sought out and took every class I could with him - 4 or 5. I follow him to this day, he is the Poet Laureate of Virginia!",5.0,4.0, Mandatory, Yes
"I know everyone thinks Siebels is some kind of poetry God,but as an older student, while an easy teacher, I found him to be a narcissistreads too much of his own stuff, smiles like a phony and knows hes good looking. Do the readings, come to class,participate, and youll get an A.",2.0,2.0, Not Mandatory, No
"Professor Seibles is a very well respected professor. I enjoyed taking his 112 ENG class! He made the class very interesting by reciting various poems, some that he wrote. Also, he encourages participation at all times, it essential to your grade! Participation was fun and I enjoyed listening to the other students point of views as well. Read!",5.0,4.0, Mandatory, Yes
Professor Seibles is an amazing professor a published poet and awesome teacher. He gets down to our level he understands were students love to share his poem with the class no tests just weekly reading which is fairly easy. Had three assignments very forgiving lets you rewrite mid term. Gives great feedback and enjoyable class I highly recommend.,5.0,1.0, Mandatory, Yes
Professor Seibles is one of my favorite professors at ODU. He emphasizes that he wants you to pass his class with an A. He just wants you to participate in the class discussions and really read and keep an open mind when reading. He understands that not everyone is an English major and reads and writes like one. He is a very conscientious grader.,5.0,2.0, Mandatory, Yes
It's true when they say his class is like a black history class. He really just wants you to think for yourself. Overall a good class,4.0,3.0, Mandatory, Yes
"Dr. Seibles was actually my favorite professor I've had so far at Old Dominion. The class requires a lot of reading from a giant book with small text but as long as you read you should be okay.  There are quite a few short papers and quizzes but like I said, if you keep up with the reading your grade should reflect that. He's very big on participation and he likes to hear the ideas of everyone in class. He definitely tries to keep and open mind and seeks to understand the ideas of others. I would recommend taking Seibles over some of the other English professors I've come across so far.",3.0,3.0, Mandatory, Yes
Seibles is amazing. He is a wonderful poet and he wants his students to grow and be successful. He is also very humorous and has such a kind soul. I wish I could take every literature class with him. MAKE SURE you do the readings weekly though because class discussion is a big chunk of your grade & there are pop quizzes (quizzes are very easy).,5.0,1.0, Mandatory, Yes
"Professor Seibles is fantastic. He is an amazing poet and really helps you to improve your writing skills. He knows we are students, so he doesn't expect perfection, but he does expect a basic knowledge of proper punctuation and sentence structure (you are in college after all). I highly recommend him if you are interested in being a writer!",5.0,1.0, Mandatory,
"Seibles is fantastic.  He understands rhythm and words like no other professor can explain.  The way he speaks helped me visualize patterns and the effects of word and line length.  Where other professors are technical, Seibles knows how to get to the primal understanding of language.",5.0,1.0, Mandatory,
"Tim is the best! He is an awesome teacher, who keeps his students interest at every turn. He is wonderful! He is hot.",5.0,2.0,,
He can toss his can of chili around with the best of them,4.5,4.0,,
"Seibles is the poetry man! If you enjoy a teacher with real passion for the subject and creative assignments then take him. He loves to compare poetry to jazz and will make a class go outside to write. Anyone who says a 50 plus year old man can't be sexy obviously has not heard him out-loud. His voice can melt hearts (cliche, I know).",4.5,1.0,,
Tim is awesome! I would not be where I am today if it were not for his wonderful teaching and expertise.,5.0,2.0,,
"If you are a Creative Writing Major at ODU, you must run not walk and take Professor Seibles class. He is a well established mentor to all future poets at ODU and an overall great guy. The class is inspiring and if you're lucky to have a great group of classmates. Unforgettable.",5.0,2.0,,
"Great teacher. His main point to the class was for you to open your world to other people and ideas. He's a pretty liberal guy, so if you swing the other way, you might not enjoy the class so much. Picks readings from a wide variety of authors and poets. Class was very enjoyable for myself, I was actually sad to have to miss a few while sick.",4.5,3.0,,
"great teacher, very knowledgeable. classes were rather boring though.",4.0,3.0,,
"Just a note--Seibles is in his 50s so I don't know about those hot peppers! He has great style--he is engaging and encouraging, and his expressiveness really helps move you along in your own creativity. Though I like the man, I did not enjoy the course because for a creative writing class it was entirely too book-heavy! Oral quizzes daily, yuck!",4.0,3.0,,
"Very focused on himself and his own ideas, and not enough time given at all to the texts and alternate readings of them. Friendly and entertaining, but I hated going to class--felt like a waste of time.",3.0,1.0,,
"She was very nice, however you only have 2 or 3 grades for the class which made it stressful.",2.0,4.0, Not Mandatory, No
"I loved this class, I was a freshman here at ODU so this class was one of my first ever college classes! Prof. is very caring about her students and very kind! You can tell she is very passionate about what she does and it makes class fun. If you do not like to read, do not take her. You will do a lot of reading, but the readings are interesting!!!",5.0,2.0, Mandatory, Yes
"I took this class to complete a gen ed requirement this semester. She grades too hard, and I didn't get any of the grades I deserved. I put in so much work and didn't get the outcome I wanted. The lectures are boring and I would never even think about taking this class again.",1.0,4.0, Not Mandatory, No
Nothing,1.0,5.0, Mandatory, No
"For a night class in the dead of winter, this professor was even colder. rarely smiled & a little insulting in her feedback. Worst part of my entire master's program experience. I determined that if I ever decided to teach, I would be the opposite of this professor - encouraging, engaging and someone who gets you excited about the material",1.0,4.0, Mandatory, No
"Pretentious and cold. The material for her classes is the same for every course she teaches, which is bad enough, but her husband teaches the exact same material as well.",1.0,2.0,, No
"I never met a teacher so unwilling to listen. On a number of occasions she specifically objected to an older learner for having a viewpoint, especially a viewpoint against her own. Complained about her workload and graded off by personality instead of actual knowledge. She seriously needs to stop thinking she's unprejudiced.",1.0,1.0, Not Mandatory, No
This was the worst class I've taken at ODU. She loves the material but if you don't you will struggle with it. She is a harsh grader and gives very little clarification on why you received the grade you did. There are not many graded assignments in the course and so the Final paper ends up being 50% of the grade!,1.0,3.0, Mandatory, No
"The world of cultural and literary theory cannot be squeezed into one semester.  Before taking this class, I wish I had read the text book like 5 times.  There are so many abstract concepts.  Professor Mourao was okay, but I think her expectations were a little high.",3.0,4.0, Mandatory,
"superb professor! Her teaching style compliments all texts studied in class, as historical background figures largely into time period consideration and novel publication. She is kind, brilliant, and, above all, really wants her students to understand the material and succeed. One of the best profs I've ever had the pleasure of encountering!",5.0,5.0, Mandatory,
"Good teacher, good person. Very funny. NEED TEXTBOOK, buy on Amazon. If you do the readings, you should be fine. There is a quiz every day before class. The class was pretty hard, not much work, a lot of listening. She is a nice person and a good teacher though, but I might not take her again. Disliked the class but I like her.",5.0,4.0,,
"Professor Mourao loves British literature which is cool, but it means she only lectures. She is very kind and understanding, but not necessarily helpful. Quiz every class and the tests are meant to test your understanding of a few of the dozens of concepts she brings up in class. The point is, this class is great but difficult to do well in.",3.5,4.0,,
"Prof. Mourao is a brilliant woman who loves what she teaches. Unfortunately, she wants everyone else to love it too, and if you don't, sucks to be you.  Quiz almost every class, so if you want to pass, READ.",2.0,3.0,,
"Very intelligent. Rather rough, but the class is crit. theory so that's expected. A fair yet almost tough grader. You can't BS her. My advice is attend if not all, most classes, the book doesn't do justice. No final paper, just a group project.",3.5,4.0,,
I took Dr. Mourao for Engl. Lit.  She's an intelligent thinker.  However..grades on a high standard.  In order to do well & get the most out of the class you need to stay on top of the readings and think about the material analytically.  Only drawback:  she got upset with me for not participating enough in discussions & used neg. motivation.,2.5,4.0,,
"She's not easy, but she's pretty thorough and clear. She's Portuguese, so it's fun to listen to her accent. Intimidating, but helpful. She goes over final papers with you so you can improve. I got an A, so though they're uncommon, it's not impossible. Do the work and get the grade. Show up to her class! Very strict on attendance.",4.0,4.0,,
Extremely passionate about her subject and knows it backwards and forwards. Makes sure she answers every question students ask. Expects a lot from her students and this is one of those classes you have to work in but a great teacher. Also very sexy and funny from time to time.,5.0,3.0,,
"Read the material - take good notes and you better know how to write!!! You'll learn and you'll like it! She's passionate about lit and it's contagious! Grades are not ""give me's"" - you have to earn them!",4.0,4.0,,
"She's a great professor!  She does challenge you, but she helps you out too.  If you want a good grade, read all the assignments and participate in class.",4.0,3.0,,
"Can be boring, but she's worth taking. She doesn't try to make it hard, and she's willing to help.",4.5,3.0,,
"She's a nice lady.  But she's horrible at teaching.  She has inspirational stories that don't relate to the subject.  She doesn't offer real critique.  I edited the hell out of my story and asked about structure (she has none).  The only thing she could say about mine, ""It doesn't seem finished."" I asked why; she didn't have an answer. She's fake.",1.0,3.0,,
"Class is fun and helpful.  Professor is very friendly and smiley (love teachers with upbeat attitudes and willing to work with students).  You don't really have a textbook, it's a book with short stories in it that you use to help model your own writings and she teaches you how to follow them.  I love this class.",5.0,2.0,,
"She knows what she's doing but ODU workshops are way too big, lots of work, little useful feedback from other students. She seems a bit immature, she does have her favorites, gets kinda snotty to people she doesn't like. Her writing isn't very deep, but it's florid.",4.0,3.0,,
"She is animated. But also like said, very opinionated and full of herself. Thinks she's hot****cuz of Oprah. If she doesn't like you drop because she plays favorites. No I'm not lazy. I worked hard and went to all classes. She calls on those she likes only. Her tests are fairly graded but challenging. Take notes only on what she says",2.0,4.0,,
"Opinionated and full of herself.  Won the lottery by getting her name pulled out of a hat on the Oprah Book Club thingy and got popular.  Not helpful in the least if she didn't personally like your work.  Once heard her call a graduate student ""a child"" because she didn't like her work....",2.0,5.0,,
"ive had sheri twice now, once for southern lit and now for craft of fiction...one of the greatest professors at odu, she made me appreciate fiction more and want to write more fiction...as a poet, that is a tall order for me...she's nice, understanding, and overall, wonderful...",5.0,1.0, Mandatory,
"Sheri is one of the things that will make you proud to say you went to ODU.  She demands good writing, and it really helps you improve!",5.0,3.0,,
she is awsome,5.0,3.0,,
"I enjoyed her very much and her books are awesome.I enjoyed the comments that she took the time to go over and write.Her short story class was awesome.Make her class fit first and the others around it.  You will have to work in her class, but it will be fun and peer reviews are fun as well.She rocks",5.0,3.0,,
"Sheri is great and class was more interesting than I imagined.She picks interesting passages for the readings.All you have is journals,a midterm,a project/paper,and a final. Her midterm is not bad if you memorize  the authors and the works that go with the authors.  Fun class, never a boring moment.",4.0,2.0,,
Sheri is a great professor.  I had her for Adv. Fiction Writing and learned so much as an english student and writer.  Try to find a way to take her.,5.0,3.0, Mandatory,
You will enjoy this class.,5.0,2.0,,
Class is never boring.,5.0,2.0,,
"Dr. Rogers is extremely passionate about mathematics and it carries over to his students. His lectures are always enjoyable, as he always incorporates a wealth of knowledge, a humorous personality, and genuine concern for his students. He was always available for questions outside of class and was happy to help if he knew you were putting work in.",5.0,4.0, Mandatory, Yes
Rogers (R^3) is a real great professor. He always provides feedback that makes sense and he is willing to help you through the questions but you will have to work for it. Hes hilarious and fun to listen to as well!,5.0,3.0, Mandatory, Yes
"R^3 is a great professor. He is always willing to help and he has great knowledge of all math. He loves to talk and is very passionate. Easy class to pass and if you need help on any assignments or corrections (corrections are allowed), R^3 always goes the extra mile to be sure you understand the materials. Interesting class!",5.0,2.0, Mandatory, Yes
Before this class I had not received a grade below an A in a math class. I got like in the 50s on the tests because the tests were testing on a bunch of useless knowledge. He would give possible test questions but you would have to memorize them an 95% of them weren't even on the test. His class is super boring but he's a funny guy.,2.0,5.0, Mandatory, No
Dr. Rogers is one of the best professor at Fredonia! He's very understanding and he cares about his students. His lectures are amazing and very inspirational. He will explain and debrief until you understand the topic. He offers several extra credits and test corrections. I highly recommend anyone to take a math course with him.,5.0,3.0, Mandatory, Yes
"dr rogers has an interesting teaching style. he makes room for his students outside of class, which is extremely helpful",5.0,4.0,, Yes
"I believe he teaches a similar course ""why mathematics?"" MATH 117. It's obvious that he knows what he's talking about, but he's also very accommodating to students who struggle and ask questions. This class only had weekly homework assignments and no tests! If you don't go to class you'll have a hard time with the hw because there is no textbook.",4.0,2.0, Mandatory, Yes
MY FAV PROF IN FREDONIA! HE IS SO FUNNY! He is always willing to help and has realistic expectations. If you need help with homework you can always find him at fishbowl helping his students! 10/10 recommend Prof Rogers.,5.0,1.0, Mandatory, Yes
"Lots of homework and is graded. Tests are difficult but he tells you exactly what to expect and what will be on it, so study what he tells you! Hes EXTREMELY entertaining and funny! Sometimes hes brief and if you dont understand something you have to go see him (hes very helpful, cares, and will sit with you for hours if needed). RECOMMENDED!!",5.0,5.0, Mandatory, Yes
"Rogers is a genuinely nice guy but a very biased professor.  His grading is completely based on his opinion.  Content in class is extremely random and has no educational value beyond interesting facts and anecdotes.  He offers multiple chances to turn in homework and make corrections, but his organization is completely disconnected.",2.0,4.0, Mandatory, No
"I never thought I'd be excited about taking Calculus, but Rogers is such a great professor that I actually looked forward to each class. His grading is very fair, and he is always available to help so there's no excuse to do poorly.",5.0,3.0, Not Mandatory, Yes
Amazing teacher. He actually sits down and helps you understand the material.,4.5,3.0, Mandatory,
He means well but often his tangents off topic are long boring and irrelevant.  Rarely teaches the actual material he will test you on in class.  Also he assumes that you will learn simply by doing the homework.  You will either be constantly asking him questions everyday about homework or struggle through the entire class.,3.0,5.0,,
"I'm a sen. so i know my way around. R^3 loves math so much it pours into his teaching. Easily the most helpful prof in the dept. Very good at keeping less talented students up to speed via diverse explanations, however class will move slow if you know your stuff. Simply loves math and will help with anything related, whether it is his class or not.",5.0,3.0,,
Best math professor at Fredonia hands down. He helped me everyday with homework and he really explained things to me. He really cares about his students and complains about other professors who cant teach. =p He doesnt rush and he makes sure students get what he is saying. I would take every single math course here at fredonia with him if i could.,4.5,3.0,,
